name,head_chest,chest_hip,heel-ham,elbow-shoulder,shoulder-tiptoe,ham,heel,shoulder,elbow,tiptoe,evaluation
20200615_General_005_DOS_P_F20_MM_003_0231.jpg,0.4356435643564356,0.9753694581280788,26,41,-62,306,332,122,163,184,best
20200615_General_005_DOS_P_F20_MM_003_0232.jpg,0.4299065420560747,1.0208333333333333,23,37,-35,301,324,144,181,179,best
20200615_General_005_DOS_P_F20_MM_003_0233.jpg,0.3963963963963964,1.0481283422459893,20,35,-20,304,324,159,194,179,best
20200615_General_005_DOS_P_F20_MM_003_0234.jpg,0.411214953271028,1.0208333333333333,21,34,-25,301,322,153,187,178,best
20200615_General_005_DOS_P_F20_MM_003_0235.jpg,0.4,1.0051020408163265,20,34,-27,301,321,150,184,177,best
20200615_General_005_DOS_P_F20_MM_003_0236.jpg,0.4,1.0051020408163265,21,31,-27,301,322,151,182,178,best
20200615_General_005_DOS_P_F20_MM_003_0237.jpg,0.419047619047619,1.0051020408163265,21,33,-28,301,322,149,182,177,best
20200615_General_005_DOS_P_F20_MM_003_0238.jpg,0.4150943396226415,1.005128205128205,22,35,-25,300,322,150,185,175,best
20200615_General_005_DOS_P_F20_MM_003_0239.jpg,0.3888888888888889,1.0364583333333333,24,34,-25,300,324,150,184,175,best
20200615_General_005_DOS_P_F20_MM_003_0240.jpg,0.419047619047619,1.0205128205128204,21,34,-24,303,324,151,185,175,best
20200615_General_005_DOS_P_F20_MM_003_0241.jpg,0.3853211009174312,1.0362694300518134,22,32,-22,302,324,151,183,173,best
20200615_General_005_DOS_P_F20_MM_003_0242.jpg,0.3925233644859813,1.046875,22,30,-18,302,324,154,184,172,best
20200615_General_005_DOS_P_F20_MM_003_0243.jpg,0.3783783783783784,1.0585106382978724,23,27,-10,301,324,161,188,171,best
20200615_General_005_DOS_P_F20_MM_003_0244.jpg,0.3571428571428571,1.0634920634920637,24,26,-12,304,328,161,187,173,best
20200615_General_005_DOS_P_F20_MM_003_0245.jpg,0.375,1.0819672131147542,21,29,-6,304,325,166,195,172,best
20200615_General_005_DOS_P_F20_MM_003_0246.jpg,0.3571428571428571,1.092896174863388,21,31,-11,304,325,163,194,174,best
20200615_General_005_DOS_P_F20_MM_003_0247.jpg,0.3571428571428571,1.098360655737705,21,29,-11,304,325,163,192,174,best
20200615_General_005_DOS_P_F20_MM_003_0248.jpg,0.3853211009174312,1.0698924731182795,21,29,-13,304,325,162,191,175,best
20200615_General_005_DOS_P_F20_MM_003_0249.jpg,0.4,1.0698924731182795,21,29,-14,304,325,161,190,175,best
20200615_General_005_DOS_P_F20_MM_003_0250.jpg,0.3888888888888889,1.092896174863388,18,26,-11,307,325,164,190,175,best
20200615_General_005_DOS_P_F20_MM_003_0251.jpg,0.4074074074074074,1.092896174863388,18,26,-13,307,325,164,190,177,best
20200615_General_005_DOS_P_F20_MM_003_0253.jpg,0.3888888888888889,1.1038251366120218,19,23,-15,307,326,164,187,179,best
20200615_General_005_DOS_P_F20_MM_003_0254.jpg,0.419047619047619,1.0806451612903225,19,26,-21,307,326,159,185,180,best
20200615_General_005_DOS_P_F20_MM_003_0255.jpg,0.4380952380952381,1.0585106382978724,22,25,-22,304,326,159,184,181,best
20200615_General_005_DOS_P_F20_MM_003_0256.jpg,0.4509803921568627,1.036649214659686,22,28,-32,304,326,149,177,181,best
20200615_General_005_DOS_P_F20_MM_003_0257.jpg,0.419047619047619,1.0585106382978724,22,27,-26,304,326,157,184,183,best
20200615_General_005_DOS_P_F20_MM_003_0258.jpg,0.419047619047619,1.0585106382978724,22,24,-26,304,326,157,181,183,best
20200615_General_005_DOS_P_F20_MM_003_0259.jpg,0.4423076923076923,1.075268817204301,21,22,-26,305,326,158,180,184,best
20200615_General_005_DOS_P_F20_MM_003_0260.jpg,0.4646464646464646,1.01,22,38,-63,307,329,122,160,185,best
20200615_General_005_DOS_P_F20_MM_003_0261.jpg,0.5052631578947369,1.0,21,42,-69,308,329,118,160,187,best
20200615_General_005_DOS_P_F20_MM_003_0262.jpg,0.4509803921568627,1.0203045685279188,21,36,-48,307,328,136,172,184,best
20200615_General_005_DOS_P_F20_MM_003_0263.jpg,0.4693877551020408,1.0049751243781095,19,39,-59,308,327,126,165,185,best
20200615_General_005_DOS_P_F20_MM_003_0264.jpg,0.4791666666666667,0.9805825242718448,23,43,-67,307,330,118,161,185,best
20200615_General_005_DOS_P_F20_MM_003_0265.jpg,0.4731182795698925,0.9760765550239234,23,40,-67,307,330,116,156,183,best
20200615_General_005_DOS_P_F20_MM_003_0266.jpg,0.4516129032258064,0.985645933014354,23,38,-67,307,330,116,154,183,best
20200615_General_005_DOS_P_F20_MM_003_0267.jpg,0.4375,1.0,23,35,-66,307,330,117,152,183,best
20200615_General_005_DOS_P_F20_MM_003_0268.jpg,0.4615384615384615,0.976303317535545,22,41,-73,308,330,111,152,184,best
20200615_General_005_DOS_P_F20_MM_003_0269.jpg,0.4516129032258064,1.0248756218905473,21,42,-73,309,330,113,155,186,best
20200615_General_005_DOS_P_F20_MM_003_0270.jpg,0.4301075268817204,1.034825870646766,21,41,-72,309,330,114,155,186,best
20200615_General_005_DOS_P_F20_MM_003_0271.jpg,0.3703703703703703,1.1092896174863387,21,18,-34,309,330,152,170,186,best
20200615_General_005_DOS_P_F20_MM_003_0272.jpg,0.4038461538461538,1.0797872340425532,21,29,-45,309,330,142,171,187,best
20200615_General_005_DOS_P_F20_MM_003_0273.jpg,0.3883495145631068,1.0913978494623655,21,28,-42,309,330,146,174,188,best
20200615_General_005_DOS_P_F20_MM_003_0274.jpg,0.42,1.0572916666666667,24,39,-58,306,330,129,168,187,best
